近一年上市新股市场表现（6月27日）
新闻日期：06-27

近一年两市共有261只新股上市，其中有3只新股迄今尚未打开涨停板。从已经录得的涨停板数量来看，贵州燃气最多，上市以来累计获38个涨停板，累计上涨566.24%。从累计涨幅来看，贵州燃气涨幅第一，上市以来涨幅高达566.24%，累计录得38个涨停；中石科技紧随其后，累计上涨541.23%，获26个涨停，详细数据如下表所示。 
近一年上市新股市场表现
证券代码| 证券简称| 上市日期| 最新价(元)| 上市以来累计涨跌幅(%)| 连续一字板数量  
---|---|---|---|---|---  
600903| 贵州燃气| 2017.11.07| 21.17| 566.24| 12  
300684| 中石科技| 2017.12.27| 73.67| 541.23| 16  
300706| 阿石创| 2017.09.26| 49.52| 521.21| 18  
300725| 药石科技| 2017.11.10| 63.64| 486.65| 15  
300675| 建科院| 2017.07.19| 30.15| 472.89| 12  
603533| 掌阅科技| 2017.09.21| 30.61| 425.56| 23  
300685| 艾德生物| 2017.08.02| 104.69| 424.50| 14  
300676| 华大基因| 2017.07.14| 101.19| 416.40| 17  
300708| 聚灿光电| 2017.10.16| 18.80| 364.35| 24  
300678| 中科信息| 2017.07.28| 28.80| 359.26| 8  
601619| 嘉泽新能| 2017.07.20| 8.04| 344.20| 16  
300746| 汉嘉设计| 2018.05.25| 35.68| 341.04| 14  
002907| 华森制药| 2017.10.20| 28.12| 332.38| 14  
603712| 七一二| 2018.02.26| 26.86| 310.50| 13  
300672| 国科微| 2017.07.12| 49.52| 306.80| 7  
300745| 欣锐科技| 2018.05.23| 67.84| 304.29| 13  
002930| 宏川智慧| 2018.03.28| 49.23| 300.90| 8  
603056| 德邦股份| 2018.01.16| 27.63| 298.94| 12  
300634| 彩讯股份| 2018.03.23| 41.14| 298.64| 16  
300688| 创业黑马| 2017.08.10| 61.50| 297.92| 16  
603127| 昭衍新药| 2017.08.25| 50.31| 292.52| 15  
300700| 岱勒新材| 2017.09.12| 58.80| 290.97| 15  
300730| 科创信息| 2017.12.05| 27.24| 285.34| 12  
300624| 万兴科技| 2018.01.18| 88.66| 272.65| 9  
603595| 东尼电子| 2017.07.12| 69.52| 271.81| 7  
002908| 德生科技| 2017.10.20| 38.15| 251.19| 14  
002864| 盘龙药业| 2017.11.16| 50.16| 247.95| 9  
002915| 中欣氟材| 2017.12.05| 31.67| 243.49| 14  
300671| 富满电子| 2017.07.05| 27.96| 235.10| 8  
002912| 中新赛克| 2017.11.21| 89.72| 231.80| 8  
300722| 新余国科| 2017.11.10| 42.58| 231.02| 11  
300743| 天地数码| 2018.04.27| 69.95| 230.42| 15  
603707| 健友股份| 2017.07.19| 26.02| 227.30| 6  
603045| 福达合金| 2018.05.17| 45.25| 225.54| 14  
300727| 润禾材料| 2017.11.27| 38.78| 222.90| 9  
603722| 阿科力| 2017.10.25| 50.06| 211.81| 14  
002903| 宇环数控| 2017.10.13| 37.30| 205.97| 11  
300705| 九典制药| 2017.10.10| 22.55| 202.73| 9  
603259| 药明康德| 2018.05.08| 93.27| 199.90| 15  
002896| 中大力德| 2017.08.29| 50.46| 198.23| 11  
600929| 湖南盐业| 2018.03.26| 15.76| 195.13| 12  
601330| 绿色动力| 2018.06.11| 13.50| 184.81| 11  
002931| 锋龙股份| 2018.04.03| 49.49| 178.03| 10  
300692| 中环环保| 2017.08.21| 23.16| 175.14| 14  
300682| 朗新科技| 2017.08.01| 21.72| 174.56| 7  
300699| 光威复材| 2017.09.01| 43.72| 171.45| 16  
603659| 璞泰来| 2017.11.03| 64.19| 171.22| 9  
002909| 集泰股份| 2017.10.26| 20.56| 170.53| 11  
603283| 赛腾股份| 2017.12.25| 26.71| 170.10| 13  
603882| 金域医学| 2017.09.08| 26.58| 166.33| 15  
