591只股短线走稳 站上五日均线
新闻日期：06-22

据统计，截至今日下午收盘，上证综指2889.76点，收于五日均线之下，涨跌幅0.49%，A股总成交额为2990.99亿元。到目前为止今日有591只A股价格突破了五日均线，其中乖离率较大的个股有金杯汽车、振华股份、美亚柏科等，乖离率分别为9.05%、7.54%、7.51%；永安药业、飞凯材料、济民制药等个股乖离率小，刚刚站上五日均线。
6月22日突破五日均线个股乖离率排名
证券代码| 证券简称| 今日涨跌幅(%)| 今日换手率(%)| 五日均线(元)| 最新价(元)| 乖离率(%)  
---|---|---|---|---|---|---  
600609| 金杯汽车| 10.05| 1.88| 4.42| 4.82| 9.05  
603067| 振华股份| 9.97| 11.39| 10.56| 11.36| 7.54  
300188| 美亚柏科| 9.99| 3.58| 15.36| 16.51| 7.51  
300615| 欣天科技| 10.01| 34.57| 17.40| 18.69| 7.39  
300644| 南京聚隆| 10.01| 46.72| 51.85| 55.63| 7.29  
600884| 杉杉股份| 9.99| 7.76| 21.11| 22.57| 6.93  
600890| 中房股份| 10.03| 1.28| 7.40| 7.90| 6.76  
300073| 当升科技| 10.00| 5.12| 29.80| 31.78| 6.65  
300037| 新宙邦| 8.14| 6.17| 24.36| 25.90| 6.34  
000636| 风华高科| 9.17| 8.39| 13.70| 14.53| 6.04  
600385| 山东金泰| 5.33| 1.43| 8.39| 8.89| 5.98  
300113| 顺网科技| 10.00| 2.79| 15.79| 16.72| 5.86  
600562| 国睿科技| 8.22| 1.76| 20.64| 21.85| 5.85  
002496| 辉丰股份| 8.53| 3.09| 2.65| 2.80| 5.74  
603819| 神力股份| 8.51| 12.32| 17.24| 18.23| 5.72  
300693| 盛弘股份| 4.81| 26.84| 22.90| 24.19| 5.62  
000812| 陕西金叶| 9.87| 6.08| 3.17| 3.34| 5.23  
300648| 星云股份| 9.98| 3.82| 23.28| 24.46| 5.07  
600960| 渤海汽车| 10.04| 1.33| 5.74| 6.03| 4.98  
300481| 濮阳惠成| 10.04| 2.31| 11.50| 12.06| 4.85  
603677| 奇精机械| 6.94| 3.43| 16.04| 16.79| 4.66  
300036| 超图软件| 6.24| 3.71| 17.91| 18.74| 4.65  
300729| 乐歌股份| 4.87| 8.39| 33.95| 35.50| 4.57  
300012| 华测检测| 6.94| 2.16| 5.45| 5.70| 4.55  
000626| 远大控股| 10.08| 1.57| 6.80| 7.10| 4.41  
603718| 海利生物| 8.26| 1.06| 13.81| 14.42| 4.39  
300634| 彩讯股份| 10.00| 12.62| 37.65| 39.26| 4.27  
000881| 中广核技| 9.95| 2.58| 8.27| 8.62| 4.26  
600596| 新安股份| 6.71| 6.57| 17.23| 17.96| 4.25  
002580| 圣阳股份| 10.09| 2.81| 4.82| 5.02| 4.15  
300568| 星源材质| 9.99| 5.65| 34.48| 35.89| 4.10  
603683| 晶华新材| 5.18| 31.14| 22.63| 23.55| 4.08  
002747| 埃斯顿| 4.32| 0.87| 12.52| 13.03| 4.07  
002889| 东方嘉盛| 4.49| 28.58| 35.35| 36.78| 4.05  
