今日277只个股突破五日均线
新闻日期：06-22

证券时报股市大数据新媒体“数据宝”统计，截至今日上午10:29分，上证综指2865.90点，收于五日均线之下，涨跌幅-0.34%，A股总成交额为1213.91亿元。到目前为止今日有277只A股价格突破了五日均线，其中乖离率较大的个股有振华股份、欣天科技、金杯汽车等，乖离率分别为7.54%、7.39%、7.09%；酒鬼酒、永安药业、ST生化等个股乖离率小，刚刚站上五日均线。
6月22日突破五日均线个股乖离率排名
证券代码| 证券简称| 今日涨跌幅(%)| 今日换手率(%)| 五日均线(元)| 最新价(元)| 乖离率(%)  
---|---|---|---|---|---|---  
603067| 振华股份| 9.97| 10.61| 10.56| 11.36| 7.54  
300615| 欣天科技| 10.01| 33.00| 17.40| 18.69| 7.39  
600609| 金杯汽车| 7.53| 1.00| 4.40| 4.71| 7.09  
300113| 顺网科技| 10.00| 2.40| 15.79| 16.72| 5.86  
300693| 盛弘股份| 4.68| 16.69| 22.90| 24.16| 5.52  
000812| 陕西金叶| 9.87| 5.45| 3.17| 3.34| 5.23  
300648| 星云股份| 9.98| 3.70| 23.28| 24.46| 5.07  
300481| 濮阳惠成| 10.04| 1.55| 11.50| 12.06| 4.85  
300073| 当升科技| 7.62| 2.62| 29.66| 31.09| 4.82  
000626| 远大控股| 10.08| 1.04| 6.80| 7.10| 4.41  
300634| 彩讯股份| 10.00| 9.99| 37.65| 39.26| 4.27  
300012| 华测检测| 6.57| 0.92| 5.45| 5.68| 4.26  
600884| 杉杉股份| 6.48| 2.59| 20.96| 21.85| 4.23  
603819| 神力股份| 6.49| 4.31| 17.18| 17.89| 4.16  
600666| 奥瑞德| 10.14| 4.89| 3.66| 3.80| 3.94  
300644| 南京聚隆| 5.58| 20.47| 51.40| 53.39| 3.87  
000636| 风华高科| 6.31| 3.24| 13.63| 14.15| 3.85  
603677| 奇精机械| 5.86| 1.94| 16.01| 16.62| 3.82  
300555| 路通视信| 6.59| 2.15| 10.13| 10.51| 3.77  
300312| 邦讯技术| 10.07| 2.94| 5.69| 5.90| 3.76  
600246| 万通地产| 4.17| 0.23| 3.86| 4.00| 3.68  
