今日469只个股突破五日均线
新闻日期：06-22

截至今日上午收盘，上证综指2885.97点，收于五日均线之下，涨跌幅0.35%，A股总成交额为1795.83亿元。到目前为止今日有469只A股价格突破了五日均线，其中乖离率较大的个股有金杯汽车、振华股份、欣天科技等，乖离率分别为9.05%、7.54%、7.39%；大华股份、华铭智能、威孚高科等个股乖离率小，刚刚站上五日均线。
6月22日突破五日均线个股乖离率排名
证券代码| 证券简称| 今日涨跌幅(%)| 今日换手率(%)| 五日均线(元)| 最新价(元)| 乖离率(%)  
---|---|---|---|---|---|---  
600609| 金杯汽车| 10.05| 1.60| 4.42| 4.82| 9.05  
603067| 振华股份| 9.97| 11.03| 10.56| 11.36| 7.54  
300615| 欣天科技| 10.01| 34.29| 17.40| 18.69| 7.39  
300073| 当升科技| 10.00| 4.82| 29.80| 31.78| 6.65  
600884| 杉杉股份| 9.11| 5.07| 21.07| 22.39| 6.25  
300693| 盛弘股份| 5.50| 21.02| 22.93| 24.35| 6.17  
000636| 风华高科| 8.94| 5.32| 13.70| 14.50| 5.87  
300113| 顺网科技| 10.00| 2.59| 15.79| 16.72| 5.86  
300037| 新宙邦| 7.10| 3.91| 24.31| 25.65| 5.53  
600890| 中房股份| 8.08| 0.88| 7.37| 7.76| 5.26  
000812| 陕西金叶| 9.87| 5.91| 3.17| 3.34| 5.23  
300648| 星云股份| 9.98| 3.74| 23.28| 24.46| 5.07  
603677| 奇精机械| 7.20| 2.66| 16.05| 16.83| 4.86  
300481| 濮阳惠成| 10.04| 2.06| 11.50| 12.06| 4.85  
603659| 璞泰来| 6.08| 5.68| 60.57| 63.50| 4.84  
300178| 腾邦国际| 10.02| 2.09| 13.32| 13.95| 4.75  
002889| 东方嘉盛| 5.31| 20.00| 35.41| 37.07| 4.70  
002497| 雅化集团| 10.05| 2.99| 10.04| 10.51| 4.66  
603039| 泛微网络| 6.67| 0.72| 74.17| 77.59| 4.61  
000626| 远大控股| 10.08| 1.54| 6.80| 7.10| 4.41  
300634| 彩讯股份| 10.00| 10.43| 37.65| 39.26| 4.27  
002747| 埃斯顿| 4.40| 0.55| 12.52| 13.04| 4.14  
300012| 华测检测| 6.38| 1.41| 5.45| 5.67| 4.11  
300568| 星源材质| 9.99| 3.14| 34.48| 35.89| 4.10  
002862| 实丰文化| 4.33| 3.19| 20.39| 21.22| 4.09  
603819| 神力股份| 6.37| 5.78| 17.17| 17.87| 4.06  
300644| 南京聚隆| 5.75| 26.48| 51.42| 53.48| 4.01  
600666| 奥瑞德| 10.14| 5.21| 3.66| 3.80| 3.94  
002354| 天神娱乐| 9.47| 3.72| 9.13| 9.48| 3.79  
300312| 邦讯技术| 10.07| 2.99| 5.69| 5.90| 3.76  
000717| 韶钢松山| 3.72| 1.83| 6.99| 7.25| 3.72  
000790| 泰合健康| 3.99| 4.31| 7.04| 7.30| 3.63  
300588| 熙菱信息| 8.13| 10.17| 14.76| 15.29| 3.61  
603301| 振德医疗| 3.46| 13.57| 47.64| 49.28| 3.43  
600385| 山东金泰| 2.13| 0.63| 8.33| 8.62| 3.43  
600429| 三元股份| 5.97| 0.73| 6.52| 6.74| 3.37  
300547| 川环科技| 9.99| 0.95| 19.50| 20.15| 3.33  
002045| 国光电器| 2.70| 4.64| 6.99| 7.22| 3.32  
300188| 美亚柏科| 4.53| 1.52| 15.19| 15.69| 3.28  
002619| 艾格拉斯| 9.97| 1.65| 3.95| 4.08| 3.24  
300555| 路通视信| 5.88| 2.99| 10.11| 10.44| 3.22  
600622| 光大嘉宝| 9.50| 1.50| 7.82| 8.07| 3.20  
600596| 新安股份| 5.35| 4.32| 17.18| 17.73| 3.19  
002061| 浙江交科| 4.38| 0.68| 9.94| 10.25| 3.16  
600101| 明星电力| 2.90| 1.14| 6.88| 7.09| 3.11  
000932| 华菱钢铁| 4.12| 1.18| 9.07| 9.35| 3.11  
300729| 乐歌股份| 3.01| 4.68| 33.82| 34.87| 3.09  
600562| 国睿科技| 4.66| 0.81| 20.50| 21.13| 3.08  
002930| 宏川智慧| 10.00| 21.23| 42.37| 43.67| 3.07  
300439| 美康生物| 4.27| 0.95| 21.07| 21.71| 3.06  
000923| 河北宣工| 1.63| 1.74| 13.89| 14.31| 3.04  
603856| 东宏股份| 7.64| 2.62| 13.95| 14.37| 2.99  
300326| 凯利泰| 2.87| 0.47| 9.39| 9.67| 2.98  
600037| 歌华有线| 5.70| 0.34| 10.09| 10.39| 2.97  
002074| 国轩高科| 4.74| 0.80| 13.54| 13.93| 2.91  
603026| 石大胜华| 5.43| 1.40| 20.20| 20.79| 2.91  
603616| 韩建河山| 3.54| 1.02| 11.94| 12.28| 2.86  
603380| 易德龙| 5.71| 3.01| 16.75| 17.23| 2.85  
600771| 广誉远| 2.82| 1.00| 53.21| 54.73| 2.85  
300716| 国立科技| 7.16| 11.19| 15.86| 16.31| 2.82  
300071| 华谊嘉信| 1.70| 2.69| 3.48| 3.58| 2.81  
002280| 联络互动| 10.00| 1.87| 5.35| 5.50| 2.80  
300032| 金龙机电| 3.20| 0.62| 5.33| 5.48| 2.78  
300036| 超图软件| 3.80| 1.79| 17.82| 18.31| 2.74  
300133| 华策影视| 3.41| 0.45| 10.33| 10.61| 2.73  
300630| 普利制药| 3.81| 0.58| 68.12| 69.95| 2.69  
002614| 奥佳华| 3.37| 0.45| 20.01| 20.55| 2.69  
002922| 伊戈尔| 9.31| 14.55| 22.42| 23.02| 2.68  
300581| 晨曦航空| 2.56| 1.88| 26.89| 27.61| 2.66  
300251| 光线传媒| 7.62| 0.71| 9.49| 9.74| 2.66  
600246| 万通地产| 2.86| 0.35| 3.85| 3.95| 2.65  
002153| 石基信息| 4.81| 1.22| 26.77| 27.48| 2.64  
002717| 岭南股份| 4.36| 0.92| 9.33| 9.58| 2.64  
600872| 中炬高新| 2.54| 0.26| 26.36| 27.05| 2.63  
300470| 日机密封| 3.01| 0.37| 43.73| 44.86| 2.58  
603708| 家家悦| 2.89| 0.97| 21.55| 22.10| 2.57  
002112| 三变科技| 9.93| 2.48| 6.37| 6.53| 2.54  
601005| 重庆钢铁| 2.44| 0.18| 2.05| 2.10| 2.54  
002580| 圣阳股份| 7.89| 2.14| 4.80| 4.92| 2.50  
000738| 航发控制| 4.46| 0.54| 12.57| 12.88| 2.50  
600271| 航天信息| 4.08| 0.54| 23.89| 24.49| 2.49  
600258| 首旅酒店| 3.64| 0.55| 26.92| 27.59| 2.49  
300107| 建新股份| 2.12| 5.26| 13.62| 13.95| 2.45  
002795| 永和智控| 4.09| 8.48| 19.89| 20.37| 2.40  
002908| 德生科技| 5.59| 14.11| 35.06| 35.90| 2.39  
300377| 赢时胜| 3.54| 1.97| 12.30| 12.59| 2.35  
000952| 广济药业| 2.08| 2.28| 13.93| 14.25| 2.33  
601012| 隆基股份| 2.13| 0.40| 15.90| 16.27| 2.31  
600277| 亿利洁能| 3.83| 0.17| 4.77| 4.88| 2.31  
603701| 德宏股份| 3.63| 1.19| 13.10| 13.40| 2.29  
300401| 花园生物| 1.01| 1.24| 21.43| 21.92| 2.29  
300532| 今天国际| 4.60| 1.16| 15.35| 15.70| 2.25  
300490| 华自科技| 5.81| 10.18| 16.02| 16.38| 2.25  
002531| 天顺风能| 3.86| 0.26| 4.47| 4.57| 2.24  
000881| 中广核技| 7.27| 0.74| 8.23| 8.41| 2.24  
